,id,dt,t,side,price,amount,cost
157,4315142513,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97427.97,0.00032,31.1769504
158,4315142514,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97427.78,0.00308,300.0775624
159,4315142515,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97427.68,0.00011,10.7170448
160,4315142516,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97427.39,6e-05,5.8456434
161,4315142517,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97426.79,0.00033,32.1508407
162,4315142518,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97426.69,0.01427,1390.2788663
163,4315142519,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97426.69,0.02855,2781.5319995
164,4315142520,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97426.42,0.00016,15.5882272
165,4315142521,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97425.34,0.10766,10488.8121044
166,4315142522,2024-12-21 01:19:31.595000+00:00,1734743971595,1,97431.65,0.0001,9.743165
167,4315142523,2024-12-21 01:19:31.595000+00:00,1734743971595,1,97431.65,0.0001,9.743165
168,4315142524,2024-12-21 01:19:31.605000+00:00,1734743971605,1,97431.47,0.0001,9.743147
169,4315142525,2024-12-21 01:19:31.605000+00:00,1734743971605,1,97431.47,0.0001,9.743147
170,4315142526,2024-12-21 01:19:31.605000+00:00,1734743971605,1,97431.37,0.0001,9.743137
171,4315142527,2024-12-21 01:19:31.605000+00:00,1734743971605,1,97431.37,0.0001,9.743137
172,4315142528,2024-12-21 01:19:31.605000+00:00,1734743971605,1,97431.19,0.0001,9.743119
173,4315142529,2024-12-21 01:19:31.605000+00:00,1734743971605,1,97431.19,0.0001,9.743119
174,4315142530,2024-12-21 01:19:31.605000+00:00,1734743971605,1,97430.89,0.0001,9.743089
175,4315142531,2024-12-21 01:19:31.605000+00:00,1734743971605,1,97430.89,0.0001,9.743089
176,4315142532,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97427.79,6e-05,5.8456674
177,4315142533,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97426.7,6e-05,5.845602
178,4315142534,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97425.35,6e-05,5.845521
179,4315142535,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97425.34,0.0001,9.742534
180,4315142536,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97425.34,0.0001,9.742534
181,4315142537,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97425.04,0.0001,9.742504
182,4315142538,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97425.04,0.0001,9.742504
183,4315142539,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97424.0,0.004,389.696
184,4315142540,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97423.73,0.0001,9.742373
185,4315142541,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97423.73,0.0001,9.742373
186,4315142542,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97423.56,6e-05,5.8454136
187,4315142543,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97423.56,0.0001,9.742356
188,4315142544,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97423.56,0.0001,9.742356
189,4315142545,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97423.25,0.00016,15.58772
190,4315142546,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97423.25,0.0001,9.742325
191,4315142547,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97423.25,0.0001,9.742325
192,4315142548,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97422.52,6e-05,5.8453512
193,4315142549,2024-12-21 01:19:31.614000+00:00,1734743971614,1,97422.12,0.00854,831.9849048
194,4315142550,2024-12-21 01:19:31.777000+00:00,1734743971777,0,97422.53,0.02698,2628.4598594
195,4315142551,2024-12-21 01:19:31.991000+00:00,1734743971991,0,97422.53,0.00027,26.3040831
196,4315142552,2024-12-21 01:19:32.054000+00:00,1734743972054,0,97422.53,0.00262,255.2470286
197,4315142553,2024-12-21 01:19:32.119000+00:00,1734743972119,1,97422.52,9e-05,8.7680268
198,4315142554,2024-12-21 01:19:32.306000+00:00,1734743972306,0,97422.53,0.00177,172.4378781
199,4315142555,2024-12-21 01:19:32.477000+00:00,1734743972477,1,97422.52,0.01004,978.1221008
200,4315142556,2024-12-21 01:19:32.676000+00:00,1734743972676,0,97422.53,0.06204,6044.0937612
201,4315142557,2024-12-21 01:19:32.676000+00:00,1734743972676,0,97422.53,0.00817,795.9420701
202,4315142558,2024-12-21 01:19:32.676000+00:00,1734743972676,0,97422.53,0.08,7793.8024
203,4315142559,2024-12-21 01:19:32.676000+00:00,1734743972676,0,97422.53,0.02,1948.4506
204,4315142560,2024-12-21 01:19:32.676000+00:00,1734743972676,0,97422.53,0.04,3896.9012
